20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/base/codeitem/removeCodeitems.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.codemap.web.CodeitemData.removeCodeitems(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/base/codeitem/saveCodeitem.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.codemap.web.CodeitemData.saveCodeitem(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.DataIn<com.gsoft.framework.codemap.entity.Codeitem>,com.gsoft.framework.codemap.entity.Codeitem,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/base/codeitem/getCodeitems.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.codemap.web.CodeitemData.getCodeitems(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.DataIn<com.gsoft.framework.codemap.entity.Codeitem>,com.gsoft.framework.codemap.entity.Codeitem,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/base/codeitem/getCodeitem.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.codemap.web.CodeitemData.getCodeitem(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/base/codemap/getPagerCodeitemsByCodeMap.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.codemap.web.CodemapData.getPagerCodeitemsByCodeMap(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.DataIn<com.gsoft.framework.codemap.entity.Codeitem>,com.gsoft.framework.codemap.entity.Codeitem,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/base/codemap/getPagerCodemaps.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.codemap.web.CodemapData.getPagerCodemaps(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.DataIn<com.gsoft.framework.codemap.entity.Codemap>,com.gsoft.framework.codemap.entity.Codemap,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/base/codemap/removeCodemaps.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.codemap.web.CodemapData.removeCodemaps(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/base/codemap/exportCodemapToSql.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.codemap.web.CodemapData.exportCodemapToSql(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/base/codemap/saveCodemap.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.codemap.web.CodemapData.saveCodemap(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.DataIn<com.gsoft.framework.codemap.entity.Codemap>,com.gsoft.framework.codemap.entity.Codemap,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/base/codemap/getCodemap.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.codemap.web.CodemapData.getCodemap(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
